字段编号,需填写内容,标准位置,字典位置,取数方式,建议分类,六个月观察,业务确认,待核问题,本站填写规则,模板通用规则,本站备注位置
F075,发电损失记录·损失电量,表6数据行R2起／损失电量,../../数据字典/字段字典.json#/fields/F075,local_history_replay,当期指标或记录,观察到变化,待确认,数据来源、单位和统计范围是什么？与正文/表格重复位置如何核对？,填写规则.json#/fields/F075,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F075,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F075
F076,隐患记录·序号,表9数据行R2起／序号,../../数据字典/字段字典.json#/fields/F076,local_history_replay,记录派生,六个月未变,待确认,序号能否由记录顺序生成？分组及重复编号规则是什么？,填写规则.json#/fields/F076,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F076,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F076
F077,隐患记录·隐患描述,表9数据行R2起／隐患描述,../../数据字典/字段字典.json#/fields/F077,local_history_replay,当期工作记录,六个月未变,待确认,重复出现的类别、风险和措施是固定标准还是本月事实？无事项及空白如何表示？,填写规则.json#/fields/F077,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F077,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F077
F078,隐患记录·措施完成,表9数据行R2起／措施完成,../../数据字典/字段字典.json#/fields/F078,local_history_replay,当期工作记录,六个月未变,待确认,重复出现的类别、风险和措施是固定标准还是本月事实？无事项及空白如何表示？,填写规则.json#/fields/F078,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F078,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F078
F079,安全工器具检测记录·序号,表10数据行R2起／序号,../../数据字典/字段字典.json#/fields/F079,local_history_replay,记录派生,记录集合变化，共同记录未变,待确认,序号能否由记录顺序生成？分组及重复编号规则是什么？,填写规则.json#/fields/F079,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F079,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F079
F080,安全工器具检测记录·编号,表10数据行R2起／编号,../../数据字典/字段字典.json#/fields/F080,local_history_replay,工器具档案,记录集合变化，共同记录未变,待确认,台账归本站还是片区？新增、更换、报废如何处理？,填写规则.json#/fields/F080,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F080,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F080
F081,安全工器具检测记录·名称,表10数据行R2起／名称,../../数据字典/字段字典.json#/fields/F081,local_history_replay,工器具档案,记录集合变化，共同记录未变,待确认,台账归本站还是片区？新增、更换、报废如何处理？,填写规则.json#/fields/F081,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F081,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F081
F082,安全工器具检测记录·型号与规格,表10数据行R2起／型号与规格,../../数据字典/字段字典.json#/fields/F082,local_history_replay,工器具档案,记录集合变化，共同记录未变,待确认,台账归本站还是片区？新增、更换、报废如何处理？,填写规则.json#/fields/F082,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F082,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F082
F083,安全工器具检测记录·制造厂家,表10数据行R2起／制造厂家,../../数据字典/字段字典.json#/fields/F083,local_history_replay,工器具档案,记录集合变化，共同记录未变,待确认,台账归本站还是片区？新增、更换、报废如何处理？,填写规则.json#/fields/F083,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F083,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F083
F084,安全工器具检测记录·试验日期,表10数据行R2起／试验日期,../../数据字典/字段字典.json#/fields/F084,local_history_replay,检验状态,记录集合变化，共同记录未变,待确认,使用最近有效试验还是只填本月试验？日期空白、到期如何填？,填写规则.json#/fields/F084,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F084,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F084
F085,安全工器具检测记录·试验结果,表10数据行R2起／试验结果,../../数据字典/字段字典.json#/fields/F085,local_history_replay,检验状态,记录集合变化，共同记录未变,待确认,使用最近有效试验还是只填本月试验？日期空白、到期如何填？,填写规则.json#/fields/F085,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F085,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F085
F086,安全工器具检测记录·下次检验时间,表10数据行R2起／下次检验时间,../../数据字典/字段字典.json#/fields/F086,local_history_replay,检验状态,记录集合变化，共同记录未变,待确认,使用最近有效试验还是只填本月试验？日期空白、到期如何填？,填写规则.json#/fields/F086,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F086,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F086
F087,1.1正文电站名称,1.1正文P34,../../数据字典/字段字典.json#/fields/F087,station_profile,电站档案,六个月未变,待确认,本站全称、简称、正文名称/容量的正式口径是什么？是否允许多种名称？,填写规则.json#/fields/F087,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F087,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F087
F088,运行概况受累电量说明,运行概况P32,../../数据字典/字段字典.json#/fields/F088,local_history_replay,当期指标或记录,观察到变化,待确认,数据来源、单位和统计范围是什么？与正文/表格重复位置如何核对？,填写规则.json#/fields/F088,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F088,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F088
F089,发电损失表合计填写位置,表6合计行R3C3/C4,../../数据字典/字段字典.json#/fields/F089,pending_business_rule,损失汇总位置,观察到变化,待确认,合计数应写损失电量列还是当前示例的停电原因列？合计与正文是什么口径？,填写规则.json#/fields/F089,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F089,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F089
F090,现场照片,表11内嵌图片（仅比较原件，不是独立取图来源）,../../数据字典/字段字典.json#/fields/F090,independent_photos,现场照片,观察到变化,待确认,照片必须来自哪些作业、多少张、是否必须带日期与站点水印？,填写规则.json#/fields/F090,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F090,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F090
